Reference ID,Title,Year,Venue,Contribution Type,NEW
MorenoSanchez2023,Attribution Stability for HF Survival,2023,Front. Cardiovasc. Med.,Corpus: Cardiology,no
Sangroya2022,Conceptual Explanation for ECG,2022,FLAIRS,Corpus: Cardiology,no
Li2020,Feature-Level CHF Explanation,2020,Symmetry,Corpus: Cardiology,no
shah2025explainable,SHAP-Based CVD Risk Prediction,2025,Sci. Rep.,Corpus: Cardiology,yes
muneer2025blockchain,XAI Chatbot for CVD Screening,2025,Sci. Rep.,Corpus: Cardiology,yes
Pertuz2023,Saliency vs Lesion Ground Truth,2023,Sci. Rep.,Corpus: Oncology,no
saharan2025explainable,Lesion-Focused Breast Cancer Detection,2025,Sci. Rep.,Corpus: Oncology,yes
11271656,SHAP/Grad-CAM Bias Analysis in Breast Cancer,2024,IEEE Access,Corpus: Oncology,no
abbas2025explainable,XAI Meta-Analysis for Clinical Decision Support,2025,Healthcare,Corpus: Oncology,yes
Patricio2024,AOPC + Max-Sensitivity Attribution Maps,2024,Comput. Meth. Prog. Biomed.,Corpus: Oncology,no
sharma2022covidmanet,Multi-Task Attention for COVID-19 CXR,2022,Pattern Recognit.,Corpus: Oncology,no
cerekci2024quantitative,Quantitative Saliency in Mammography,2024,Eur. J. Radiol.,Corpus: Oncology,no
alpsalaz2026explainability,Fuzzy Ensemble for Cervical Cancer,2026,Int. J. Intell. Syst.,Corpus: Oncology,yes
Lee2021Cardiomegaly,Heatmap Localisation for Cardiomegaly,2021,Sci. Rep.,Corpus: Radiology,no
lee2020evaluation,COVID-19 CXR Screening Evaluation,2020,J. Pers. Med.,Corpus: Radiology,no
10051650,Domain-Aware Classifier Interpretation,2023,IEEE TMI,Corpus: Radiology,no
10440088,Example-Based XAI in Medical Imaging,2024,IEEE Access,Corpus: Radiology,no
Repetto2025EvaluatingTR,Robustness Under Corruption in Medical Images,2025,Mach. Learn.,Corpus: Radiology,yes
IhongbeFouad2024,Human-Centred Grad-CAM vs LIME Study,2024,PLoS ONE,Corpus: Radiology,yes
saporta2022benchmarking,Saliency Benchmarking for CXR,2022,Nat. Mach. Intell.,Corpus: Radiology,no
arun2021assessing,Saliency Trustworthiness Assessment,2021,Radiology: AI,Corpus: Radiology,no
wollek2023attention,Attention Saliency for Pneumothorax,2023,Radiology: AI,Corpus: Radiology,no
sun2023improving,Patch Perturbation for COVID-19 CXR,2023,Sci. Rep.,Corpus: Radiology,no
brima2024saliency,Visual Explainability with Statistical Analysis,2024,BioData Mining,Corpus: Radiology,yes
Chmiel2023,Saliency Sensitivity for Brain Tumour,2023,Sensors,Corpus: Neuroimaging,no
Nazir2024UtilizingCC,XAI-Augmented CNN for Brain Tumour,2024,Heliyon,Corpus: Neuroimaging,yes
singla2023explaining,Counterfactual Explanation in Medical Imaging,2023,Med. Image Anal.,Corpus: Neuroimaging,no
Kohan2025,XAI in Intracranial Haemorrhage,2025,WIREs DMKD,Corpus: Neuroimaging,yes
qin2025consistency,Consistency Benchmarking for Brain MRI,2025,SPIE ICBBE,Corpus: Neuroimaging,yes
akgundougdu2025explainable,LIME/Grad-CAM/SHAP for Brain Tumour,2025,Med. Eng. Phys.,Corpus: Neuroimaging,yes
10328849,Trustworthiness Metrics for IoMT Imaging,2025,IEEE J-BHI,Corpus: Clinical,yes
11355720,Co-Design with Radiologists for Trust,2024,IEEE Access,Corpus: Clinical,yes
Kukar2011,Explanation Validation in CAD,2011,Artif. Intell. Med.,Corpus: Clinical,no
Pandey2024,qxAI Faithfulness + Sensitivity,2024,IEEE PerCom Wksp.,Corpus: Clinical,yes
hicks2022evaluation,Domain-Aware Criteria Evaluation,2022,Sci. Rep.,Corpus: Clinical,no
rezaeian2026explainability,Explainability Effects on Clinician Trust,2026,Int. J. HCI,Corpus: Clinical,yes
finzel2024human,Human-Centred Lessons for Medical Decisions,2024,KI-Kunstl. Intell.,Corpus: Clinical,yes
chien2022usefulness,Grad-CAM Usefulness Across Modalities,2022,Appl. Sci.,Corpus: Clinical,no
Patricio2023,XAI Survey with Metrics Benchmarking,2023,ACM Comput. Surv.,Corpus: Clinical,no
lamprou2024evaluation,Systematic Faithfulness Evaluation,2024,Comput. Meth. Prog. Biomed.,Corpus: Clinical,yes
raghavan2024explainable,XAI Experiments on IR Breast Images,2024,Comput. Intell.,Corpus: Clinical,yes
jacob2025indian,Perturbation-Based XAI for Wound Healing,2025,Comput. Meth. Prog. Biomed.,Corpus: Clinical,yes
